,pose_name_l3,pose_name_alt_l3,pose_name_l2,pose_name_l1,image_shape,channel_B_pixel_mean,channel_G_pixel_mean,channel_R_pixel_mean,channel_B_pixel_std,channel_G_pixel_std,channel_R_pixel_std,channel_B_pixel_min,channel_G_pixel_min,channel_R_pixel_min,channel_B_pixel_max,channel_G_pixel_max,channel_R_pixel_max,image_path
0,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(1300, 1089, 3)",154.63071978526523,164.15656918838738,64.53660097478279,52.46077039652828,49.420743086104046,85.27816732433169,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/0.jpeg
1,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(312, 246, 3)",90.82285803627268,125.18503752345215,123.59254481967896,64.25966105337197,56.22876247648446,69.4981767305666,0.0,1.0,0.0,255.0,255.0,255.0,./data/loaded/1.jpeg
2,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(391, 430, 3)",147.46473562124547,140.76957116516982,148.5293047046928,58.90618436109621,60.400268433581935,50.459647552682156,0.0,0.0,2.0,220.0,220.0,220.0,./data/loaded/2.jpeg
3,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(240, 202, 3)",229.01140676567655,229.01140676567655,229.01140676567655,67.87738330578273,67.87738330578273,67.87738330578273,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/3.jpeg
4,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(664, 996, 3)",170.5291346107321,171.29137483669618,185.7618107974065,61.27861153545731,56.97816320770073,49.90807152299412,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/4.jpeg
5,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(480, 640, 3)",144.587470703125,147.60049153645832,145.937119140625,50.61293013185805,46.957988680630976,44.868320589051464,0.0,4.0,0.0,245.0,242.0,228.0,./data/loaded/5.jpeg
6,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(640, 640, 3)",239.197333984375,240.95694580078126,246.70552490234374,55.346645972736454,52.03977763590582,41.350845311214826,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/6.jpeg
7,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(377, 236, 3)",177.90384615384616,181.9636514858607,188.67171694465674,72.13760662430244,69.35650804704815,66.46124140535818,0.0,0.0,0.0,255.0,251.0,254.0,./data/loaded/7.jpeg
8,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(354, 375, 3)",120.6911713747646,120.6911713747646,120.6911713747646,45.569079776312094,45.569079776312094,45.569079776312094,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/8.jpeg
9,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(1157, 736, 3)",189.61594476908044,194.8583586204953,202.13366770320545,94.01069507168634,88.43319208107151,81.34566927463656,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/9.jpeg
